Country Code,Name,Location,System ID,URL,Auto-Discovery URL,Scooter URL
US,Spin Greenville,"Greenville, SC",spin greenville,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/greenville/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/greenville/free_bike_status.json
US,Spin Isla Vista,"Isla Vista, CA",spin isla_vista,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/isla_vista/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/isla_vista/free_bike_status.json
US,Spin Jacksonville,"Jacksonville, FL",spin jacksonville,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/jacksonville/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/jacksonville/free_bike_status.json
US,Spin Jefferson City,"Jefferson City, MO",spin jefferson_city,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/jefferson_city/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/jefferson_city/free_bike_status.json
US,Spin Kansas City,"Kansas City, MO",spin kansas_city,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/kansas_city/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/kansas_city/free_bike_status.json
US,Spin Knoxville,"Knoxville, TN",spin knoxville,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/knoxville/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/knoxville/free_bike_status.json
US,Spin Lexington,"Lexington, KY",spin lexington,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/lexington/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/lexington/free_bike_status.json
US,Spin Lincoln,"Lincoln, NB",spin lincoln,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/lincoln/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/lincoln/free_bike_status.json
US,Spin Long Beach,"Long Beach, CA",spin long_beach,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/long_beach/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/long_beach/free_bike_status.json
US,Spin Los Angeles,"Los Angeles, CA",spin los_angeles,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/los_angeles/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/los_angeles/free_bike_status.json
US,Spin Louisville,"Louisville, KY",spin louisville,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/louisville/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/louisville/free_bike_status.json
US,Spin Memphis,"Memphis, TN",spin memphis,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/memphis/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/memphis/free_bike_status.json
US,Spin Mesa,"Mesa, AZ",spin mesa,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/mesa/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/mesa/free_bike_status.json
US,Spin Miami,"Miami, FL",spin miami,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/miami/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/miami/free_bike_status.json
US,Spin Michigan State University,"East Lansing, MI",spin michigan_state_university,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/michigan_state_university/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/michigan_state_university/free_bike_status.json
US,Spin Minneapolis,"Minneapolis, MN",spin minneapolis,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/minneapolis/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/minneapolis/free_bike_status.json
US,Spin Mongomery County,"Mongomery County, MD",spin montgomery_county,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/montgomery_county/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/montgomery_county/free_bike_status.json
US,Spin Nashville,"Nashville, TN",spin nashville,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/nashville/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/nashville/free_bike_status.json
US,Spin Nicholls State University,"Thibodaux, LA",spin nicholls_state,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/nicholls_state/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/nicholls_state/free_bike_status.json
US,Spin NMSU,"Las Cruces, NM",spin nmsu,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/nmsu/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/nmsu/free_bike_status.json
US,Spin Oakland University,"Rochester, MI",spin oakland_university,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/oakland_university/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/oakland_university/free_bike_status.json
US,Spin Ohio State,"Columbus, OH",spin ohio_state,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/ohio_state/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/ohio_state/free_bike_status.json
US,Spin Omaha,"Omaha, NB",spin omaha,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/omaha/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/omaha/free_bike_status.json
US,Spin Orem,"Orem, UT",spin orem,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/orem/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/orem/free_bike_status.json
US,Spin Orlando,"Orlando, FL",spin orlando,https://www.spin.pm,https://gbfs.spin.pm/api/gbfs/v2_3/orlando/gbfs,https://gbfs.spin.pm/api/gbfs/v2_3/orlando/free_bike_status.json
